,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
137,,DL,11483.0,,2,,67415,,,2001
138,,HP,3873.0,,2,,17314,,,2001
139,,KH,749.0,,2,,4896,,,2001
140,,MQ,9096.0,,2,,38488,,,2001
141,,NW,6471.0,,2,,42082,,,2001
142,,TW,4377.0,,2,,19831,,,2001
143,,UA,12469.0,,2,,57095,,,2001
144,,US,8133.0,,2,,57288,,,2001
145,,WN,17546.0,,2,,73011,,,2001
146,,AA,10977.0,,3,,64627,,,2001
147,,AS,3530.0,,3,,13104,,,2001
148,,CO,4785.0,,3,,34194,,,2001
149,,DL,13171.0,,3,,74960,,,2001
150,,HP,4095.0,,3,,19216,,,2001
151,,KH,818.0,,3,,5487,,,2001
152,,MQ,10326.0,,3,,42813,,,2001
153,,NW,6120.0,,3,,46587,,,2001
154,,TW,2983.0,,3,,21819,,,2001
155,,UA,12617.0,,3,,64102,,,2001
156,,US,10956.0,,3,,63404,,,2001
157,,WN,17233.0,,3,,80806,,,2001
158,,AA,8900.0,,4,,62332,,,2001
159,,AS,2619.0,,4,,12791,,,2001
160,,CO,3326.0,,4,,33101,,,2001
161,,DL,9061.0,,4,,72243,,,2001
162,,HP,3232.0,,4,,17832,,,2001
163,,KH,520.0,,4,,5344,,,2001
164,,MQ,9073.0,,4,,41858,,,2001
165,,NW,5978.0,,4,,45488,,,2001
166,,TW,2277.0,,4,,20799,,,2001
167,,UA,12746.0,,4,,61722,,,2001
168,,US,7559.0,,4,,61582,,,2001
169,,WN,14232.0,,4,,79095,,,2001
170,,AA,8395.0,,5,,64075,,,2001
171,,AS,2065.0,,5,,13598,,,2001
172,,CO,3066.0,,5,,33286,,,2001
173,,DL,7752.0,,5,,73793,,,2001
174,,HP,2823.0,,5,,18282,,,2001
175,,KH,494.0,,5,,5635,,,2001
176,,MQ,9590.0,,5,,43282,,,2001
177,,NW,5175.0,,5,,47345,,,2001
178,,TW,2201.0,,5,,21909,,,2001
179,,UA,10423.0,,5,,63938,,,2001
180,,US,7558.0,,5,,63437,,,2001
181,,WN,12857.0,,5,,81360,,,2001
182,,AA,10665.0,,6,,62691,,,2001
183,,AS,3200.0,,6,,14100,,,2001
184,,CO,5189.0,,6,,32631,,,2001
185,,DL,13464.0,,6,,72066,,,2001
186,,HP,3260.0,,6,,17923,,,2001
187,,KH,938.0,,6,,5782,,,2001
188,,MQ,10437.0,,6,,41830,,,2001
189,,NW,6736.0,,6,,47169,,,2001
190,,TW,3312.0,,6,,21738,,,2001
191,,UA,12549.0,,6,,64155,,,2001
192,,US,10362.0,,6,,60530,,,2001
193,,WN,15018.0,,6,,79615,,,2001
194,,AA,10004.0,,7,,65232,,,2001
195,,AS,3463.0,,7,,15095,,,2001
196,,CO,4000.0,,7,,33555,,,2001
197,,DL,11185.0,,7,,74288,,,2001
198,,HP,3740.0,,7,,18647,,,2001
199,,KH,789.0,,7,,6034,,,2001
200,,MQ,9225.0,,7,,43379,,,2001
201,,NW,6934.0,,7,,49433,,,2001
202,,TW,3006.0,,7,,22272,,,2001
203,,UA,14728.0,,7,,66026,,,2001
204,,US,8998.0,,7,,61545,,,2001
205,,WN,14720.0,,7,,82934,,,2001
206,,AA,11001.0,,8,,65542,,,2001
207,,AS,4228.0,,8,,15124,,,2001
208,,CO,5206.0,,8,,35116,,,2001
209,,DL,11288.0,,8,,74892,,,2001
210,,HP,4234.0,,8,,19015,,,2001
211,,KH,725.0,,8,,5912,,,2001
212,,MQ,9249.0,,8,,43824,,,2001
213,,NW,6637.0,,8,,49821,,,2001
214,,TW,2481.0,,8,,22364,,,2001
215,,UA,14991.0,,8,,66646,,,2001
216,,US,10789.0,,8,,62264,,,2001
217,,WN,15493.0,,8,,83831,,,2001
218,,AA,11119.0,,9,,55846,,,2001
219,,AS,1547.0,,9,,13002,,,2001
220,,CO,2759.0,,9,,29893,,,2001
221,,DL,7313.0,,9,,67821,,,2001
222,,HP,2286.0,,9,,17495,,,2001
223,,KH,261.0,,9,,5082,,,2001
224,,MQ,5074.0,,9,,42811,,,2001
225,,NW,4489.0,,9,,43275,,,2001
226,,TW,1722.0,,9,,19427,,,2001
227,,UA,6774.0,,9,,59590,,,2001
228,,US,4581.0,,9,,57377,,,2001
229,,WN,7156.0,,9,,79079,,,2001
230,,AA,9802.0,,10,,51963,,,2001
231,,AS,2158.0,,10,,11240,,,2001
232,,CO,1915.0,,10,,26537,,,2001
233,,DL,6201.0,,10,,60133,,,2001
234,,HP,2374.0,,10,,16206,,,2001
235,,KH,650.0,,10,,4222,,,2001
236,,MQ,4146.0,,10,,38898,,,2001
237,,NW,3974.0,,10,,37967,,,2001
238,,TW,2480.0,,10,,19140,,,2001
239,,UA,8727.0,,10,,51285,,,2001
240,,US,4571.0,,10,,42941,,,2001
241,,WN,12025.0,,10,,83264,,,2001
242,,AA,6207.0,,11,,50000,,,2001
243,,AS,2367.0,,11,,11490,,,2001
244,,CO,2306.0,,11,,26824,,,2001
245,,DL,6087.0,,11,,59226,,,2001
246,,HP,1641.0,,11,,13986,,,2001
247,,MQ,4902.0,,11,,34430,,,2001
248,,NW,3643.0,,11,,37734,,,2001
249,,TW,1910.0,,11,,16588,,,2001
250,,UA,5460.0,,11,,43391,,,2001
251,,US,5600.0,,11,,46861,,,2001
252,,WN,11548.0,,11,,76856,,,2001
253,,AA,7421.0,,12,,52121,,,2001
254,,AS,3095.0,,12,,11983,,,2001
255,,CO,3246.0,,12,,27748,,,2001
256,,DL,8696.0,,12,,61728,,,2001
257,,HP,1839.0,,12,,14828,,,2001
258,,MQ,5370.0,,12,,35082,,,2001
259,,NW,6873.0,,12,,40279,,,2001
260,,TW,2942.0,,12,,16905,,,2001
261,,UA,6991.0,,12,,44676,,,2001
262,,US,7145.0,,12,,47689,,,2001
263,,WN,18149.0,,12,,76830,,,2001
264,,AA,8425.0,,1,,70210,,,2002
265,,AS,2305.0,,1,,12009,,,2002
266,,CO,2404.0,,1,,27493,,,2002
267,,DL,8811.0,,1,,62669,,,2002
268,,HP,1672.0,,1,,15135,,,2002
269,,MQ,4878.0,,1,,36049,,,2002
270,,NW,5214.0,,1,,39817,,,2002
271,,UA,6008.0,,1,,45765,,,2002
272,,US,5866.0,,1,,47132,,,2002
273,,WN,13787.0,,1,,80057,,,2002
274,,AA,5892.0,,2,,63455,,,2002
275,,AS,2143.0,,2,,11642,,,2002
276,,CO,1791.0,,2,,25480,,,2002
277,,DL,5981.0,,2,,56751,,,2002
278,,HP,1340.0,,2,,13709,,,2002
279,,MQ,4304.0,,2,,33387,,,2002
280,,NW,4744.0,,2,,37679,,,2002
281,,UA,4072.0,,2,,42083,,,2002
282,,US,4398.0,,2,,42567,,,2002
283,,WN,11076.0,,2,,72782,,,2002
284,,AA,9765.0,,3,,72289,,,2002
285,,AS,2926.0,,3,,13272,,,2002
286,,CO,2656.0,,3,,28910,,,2002
287,,DL,8970.0,,3,,63216,,,2002
288,,HP,2158.0,,3,,16289,,,2002
289,,MQ,6365.0,,3,,37299,,,2002
290,,NW,8831.0,,3,,42819,,,2002
291,,UA,5831.0,,3,,47004,,,2002
292,,US,7144.0,,3,,46607,,,2002
293,,WN,19440.0,,3,,80191,,,2002
294,,AA,7994.0,,4,,71915,,,2002
295,,AS,1975.0,,4,,12937,,,2002
296,,CO,2137.0,,4,,27873,,,2002
297,,DL,6408.0,,4,,61134,,,2002
