,Cancelled,CarrierDel,CarrierID,Delays,DepState,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
99,121.0,,,192.0,WI,,2,,1947,,,2000
100,4.0,,,8.0,WV,,2,,111,,,2000
101,4.0,,,38.0,WY,,2,,124,,,2000
102,151.0,,,562.0,AK,,3,,3294,,,2000
103,51.0,,,349.0,AL,,3,,2695,,,2000
104,20.0,,,191.0,AR,,3,,1145,,,2000
105,475.0,,,5145.0,AZ,,3,,18082,,,2000
106,1891.0,,,11818.0,CA,,3,,58956,,,2000
107,432.0,,,2255.0,CO,,3,,13341,,,2000
108,34.0,,,319.0,CT,,3,,3076,,,2000
109,208.0,,,4799.0,FL,,3,,32068,,,2000
110,450.0,,,3845.0,GA,,3,,23603,,,2000
111,8.0,,,152.0,HI,,3,,1436,,,2000
112,25.0,,,99.0,IA,,3,,1135,,,2000
113,6.0,,,191.0,ID,,3,,1022,,,2000
114,831.0,,,5718.0,IL,,3,,30241,,,2000
115,37.0,,,425.0,IN,,3,,3196,,,2000
116,24.0,,,50.0,KS,,3,,517,,,2000
117,158.0,,,940.0,KY,,3,,8768,,,2000
118,41.0,,,828.0,LA,,3,,5208,,,2000
119,361.0,,,1461.0,MA,,3,,9570,,,2000
120,43.0,,,1336.0,MD,,3,,7257,,,2000
121,22.0,,,33.0,ME,,3,,488,,,2000
122,242.0,,,2284.0,MI,,3,,14720,,,2000
123,217.0,,,1735.0,MN,,3,,12634,,,2000
124,259.0,,,3511.0,MO,,3,,19934,,,2000
125,13.0,,,107.0,MS,,3,,853,,,2000
126,18.0,,,77.0,MT,,3,,973,,,2000
127,195.0,,,1943.0,NC,,3,,15539,,,2000
128,15.0,,,38.0,ND,,3,,565,,,2000
129,25.0,,,238.0,NE,,3,,1689,,,2000
130,15.0,,,169.0,NH,,3,,1162,,,2000
131,304.0,,,1760.0,NJ,,3,,10802,,,2000
132,39.0,,,678.0,NM,,3,,3072,,,2000
133,232.0,,,4066.0,NV,,3,,14652,,,2000
134,457.0,,,2348.0,NY,,3,,18387,,,2000
135,147.0,,,1085.0,OH,,3,,9173,,,2000
136,51.0,,,566.0,OK,,3,,3454,,,2000
137,102.0,,,939.0,OR,,3,,5246,,,2000
138,422.0,,,3155.0,PA,,3,,20318,,,2000
139,20.0,,,299.0,PR,,3,,2174,,,2000
140,10.0,,,264.0,RI,,3,,2094,,,2000
141,45.0,,,178.0,SC,,3,,1812,,,2000
142,7.0,,,28.0,SD,,3,,410,,,2000
143,104.0,,,1435.0,TN,,3,,9962,,,2000
144,1193.0,,,10468.0,TX,,3,,52401,,,2000
145,85.0,,,1041.0,UT,,3,,6779,,,2000
146,421.0,,,1751.0,VA,,3,,16403,,,2000
147,1.0,,,19.0,VI,,3,,343,,,2000
148,3.0,,,37.0,VT,,3,,217,,,2000
149,287.0,,,1900.0,WA,,3,,9879,,,2000
150,32.0,,,185.0,WI,,3,,1970,,,2000
151,3.0,,,4.0,WV,,3,,97,,,2000
152,5.0,,,26.0,WY,,3,,132,,,2000
153,331.0,,,468.0,AK,,4,,3134,,,2000
154,51.0,,,339.0,AL,,4,,2593,,,2000
155,8.0,,,153.0,AR,,4,,1100,,,2000
156,392.0,,,3838.0,AZ,,4,,17347,,,2000
157,1493.0,,,11839.0,CA,,4,,56812,,,2000
158,271.0,,,2326.0,CO,,4,,12265,,,2000
159,55.0,,,378.0,CT,,4,,3005,,,2000
160,316.0,,,5495.0,FL,,4,,31129,,,2000
161,388.0,,,4127.0,GA,,4,,22665,,,2000
162,9.0,,,165.0,HI,,4,,1362,,,2000
163,32.0,,,101.0,IA,,4,,1004,,,2000
164,11.0,,,162.0,ID,,4,,1028,,,2000
165,1439.0,,,6844.0,IL,,4,,29161,,,2000
