,Cancelled,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
89,466.0,,Southwest Airlines Co.,14090.0,,9,,75495,,,2000
90,1861.0,,American Airlines Inc.,8521.0,,10,,63381,,,2000
91,560.0,,Alaska Airlines Inc.,2634.0,,10,,13180,,,2000
92,261.0,,Continental Air Lines Inc.,3990.0,,10,,33434,,,2000
93,1452.0,,Delta Air Lines Inc.,8874.0,,10,,77425,,,2000
94,916.0,,US Airways,5263.0,,10,,18812,,,2000
95,797.0,,Northwest Airlines Inc.,5368.0,,10,,47298,,,2000
96,444.0,,Trans World Airways LLC,3719.0,,10,,22399,,,2000
97,2007.0,,United Air Lines Inc.,15306.0,,10,,65188,,,2000
98,1249.0,,US Airways,9376.0,,10,,65017,,,2000
99,822.0,,Southwest Airlines Co.,22904.0,,10,,79627,,,2000
100,1694.0,,American Airlines Inc.,10985.0,,11,,61194,,,2000
101,388.0,,Alaska Airlines Inc.,3182.0,,11,,12189,,,2000
102,233.0,,Continental Air Lines Inc.,4223.0,,11,,31903,,,2000
103,1943.0,,Delta Air Lines Inc.,15374.0,,11,,73659,,,2000
104,762.0,,US Airways,3937.0,,11,,18049,,,2000
105,74.0,,KH,442.0,,11,,5396,,,2000
106,1209.0,,Northwest Airlines Inc.,7822.0,,11,,45013,,,2000
107,231.0,,Trans World Airways LLC,2963.0,,11,,21067,,,2000
108,2500.0,,United Air Lines Inc.,15370.0,,11,,60167,,,2000
109,1229.0,,US Airways,11580.0,,11,,62503,,,2000
110,649.0,,Southwest Airlines Co.,19709.0,,11,,76111,,,2000
111,5997.0,,American Airlines Inc.,15639.0,,12,,63959,,,2000
112,463.0,,Alaska Airlines Inc.,4407.0,,12,,12869,,,2000
113,871.0,,Continental Air Lines Inc.,5757.0,,12,,33041,,,2000
114,7575.0,,Delta Air Lines Inc.,21026.0,,12,,75331,,,2000
115,868.0,,US Airways,4659.0,,12,,18652,,,2000
116,99.0,,KH,294.0,,12,,5640,,,2000
117,2896.0,,Northwest Airlines Inc.,13173.0,,12,,45821,,,2000
118,1199.0,,Trans World Airways LLC,6087.0,,12,,21284,,,2000
119,4336.0,,United Air Lines Inc.,18694.0,,12,,61984,,,2000
120,2805.0,,US Airways,15258.0,,12,,63727,,,2000
121,1491.0,,Southwest Airlines Co.,27466.0,,12,,78730,,,2000
122,3163.0,,American Airlines Inc.,9595.0,,1,,64641,,,2001
123,530.0,,Alaska Airlines Inc.,3081.0,,1,,13050,,,2001
124,494.0,,Continental Air Lines Inc.,4235.0,,1,,33777,,,2001
125,3805.0,,Delta Air Lines Inc.,12474.0,,1,,76671,,,2001
126,725.0,,US Airways,4158.0,,1,,19235,,,2001
127,83.0,,KH,221.0,,1,,5404,,,2001
128,3863.0,,American Eagle Airlines Inc.,10289.0,,1,,42723,,,2001
129,1365.0,,Northwest Airlines Inc.,5879.0,,1,,45865,,,2001
130,468.0,,Trans World Airways LLC,3737.0,,1,,21929,,,2001
131,2360.0,,United Air Lines Inc.,11614.0,,1,,62351,,,2001
132,1959.0,,US Airways,9585.0,,1,,63830,,,2001
133,1076.0,,Southwest Airlines Co.,18004.0,,1,,80464,,,2001
134,2670.0,,American Airlines Inc.,10445.0,,2,,57915,,,2001
135,539.0,,Alaska Airlines Inc.,3246.0,,2,,11870,,,2001
136,479.0,,Continental Air Lines Inc.,3729.0,,2,,30619,,,2001
137,2315.0,,Delta Air Lines Inc.,11483.0,,2,,67415,,,2001
138,492.0,,US Airways,3873.0,,2,,17314,,,2001
139,147.0,,KH,749.0,,2,,4896,,,2001
140,3062.0,,American Eagle Airlines Inc.,9096.0,,2,,38488,,,2001
141,1575.0,,Northwest Airlines Inc.,6471.0,,2,,42082,,,2001
142,653.0,,Trans World Airways LLC,4377.0,,2,,19831,,,2001
143,2540.0,,United Air Lines Inc.,12469.0,,2,,57095,,,2001
144,1965.0,,US Airways,8133.0,,2,,57288,,,2001
145,1011.0,,Southwest Airlines Co.,17546.0,,2,,73011,,,2001
146,2954.0,,American Airlines Inc.,10977.0,,3,,64627,,,2001
147,293.0,,Alaska Airlines Inc.,3530.0,,3,,13104,,,2001
148,884.0,,Continental Air Lines Inc.,4785.0,,3,,34194,,,2001
149,2885.0,,Delta Air Lines Inc.,13171.0,,3,,74960,,,2001
150,535.0,,US Airways,4095.0,,3,,19216,,,2001
151,93.0,,KH,818.0,,3,,5487,,,2001
152,2932.0,,American Eagle Airlines Inc.,10326.0,,3,,42813,,,2001
